asin,name,overall_rating,review_count,summary,merchant
B00WMNXH7Q,Society-Tea-Regular-Pouch-1kg,3.2,20," The tea when boiled in the water gives a nice flavor and the color which no other teas can give . From the value for money standpoint, it is a little costlier (20-30 Rs per kg) in comparison to its other tea of its class .",Society
B00WMNXP82,Society-Tea-Masala-Jar-250g,3.3,20, Society Masala tea is sold in India and exported abroad is totally different . Amazon does not accept return of food items . The product comes in a plastic water bottle which is very cheap and the smell of plastic is there in the tea also .,Society
B00Z9VTJNE,Cinthol-Soap-125g-Pack-Free,3.5,20," Great Soap bar, The only catch is the free bar is only half the size of the regular bar . However i use it for my travel kit. Good but not too long lasting depends on u r sweat.",Cinthol
B0119NDPS0,Tata-Tea-Premium-1-5kg,5,2, Tasty Tea with Natural Flovour can be made with natural flovour . Tasty tea can be added to a variety of tea types .,Tata
B0119NE5IE,Tata-Premium-Leaf-South-500g,4.8,20, The tea is awesome..the taste is Rich and refreshing..I LL definitely buy it again!! Excellent product. Fastest delivery by amazon prime... And great taste of the tea...the fragrance of it is just amazing... recommended to one and all .,Tata
B011HZ9NQS,Cinthol-Original-Soap-100g-Pack,4.6,20, Nivea launched it's own soap flagship in india few days back which is in fact might have beaten cinthol in terms of quality . The quality of the soap is determined by its 'TFM' content .,Cinthol
B012SPKP9U,Titan-Karishma-Analog-Blue-Watch-1774SM01,3.4,20, The watch looks superb. Excellent finish. You get exactly what you see in the photos . But the day and date cycle not working properly.. And the week names are wrong .,Titan
B015PL0HG0,Dettol-Multi-Purpose-Disinfectant-Surfaces-Original,3.4,20, Dettol disinfected spray has mild scent and really easy to use . It evaporates in 15-20 seconds and so saves time . It leaves the place very fresh and nice .,Dettol
B015XSO0L8,Mysore-Sandal-Millennium-Soap-150g,2.3,20, The golden seal on inside plastic box seems to have been tampered with and resealed with plastic tape . Only using name like millennium soap doesn’t make it a soap of millennium . Buy products like nutregena or forest essential rather than buying this particular soap .,Mysore
B016A7MMHK,Godrej-Security-Solutions-Goldilocks-Personal,3.5,20, The product was defective. The front keypad panel was not sitting properly . The defect was reported and Amazon has arranged a replacement . The alarm tone itself should change. The volume needs to be on the higher side as well .,Godrej
B017ICN80G,Society-Tea-Premium-Packet-1000g,4.1,20, Tastes better than wagh bakri premium tea but grain size is much smaller . Leaves a lot of dust at the bottom of the container which is a bit annoying . Price has increased with deteriorated quality .,Society
B018E0GEAM,Amul-Fresh-Cream-250ml,4,20," The cream is of good quality . It is good for other dishes but not for whipped cream icing . Freezing doesn't help, it changes the taste and texture .",Amul
B01CGESSG0,Cinthol-Lime-Soap-100-Pack,4.2,20," Scent & freshness average but longevity bad . Fragrance is average new and genuine product delivered before time, cheaper than marketi feel fresh after bath . Good Product packaging Value for money, i got it for RS 19 per/piece .",Cinthol
B01CHVPR16,Tata-Tea-Premium-North-1kg,3.7,20," N The product is good but paid more than MRP . MRP in the packet is 365/- whereas Amazon is showing as 400 . This is not correct Quality is just ok, don't expect Tata tea gold,and tajmahal type taste and quality .",Tata
B01CJUK8PU,Dettol-Disinfectant-Cleaner-Home-Fresh,4.4,20," Dettol is effective as an Antiseptic, but also smells nice . I grew up with this brand back home in Sydney . I am not fond of the alleged disinfectants at the local markets . I use this in my floor wash, you only need a very tiny amount .",Dettol
B01CLFHBAS,Titan-Analog-Black-Dial-Watch-1805NM01,3.9,20," Date,Day and Hour are in perfect sync . Packing was good however the peel over the dial was not in its place . There was no such policy so I had to return it .",Titan
B01DKPA876,PATANJALI-Aloe-Pimples-Moisturizing-150ml,3.9,20," It's good, but to me while using it sometimes it cause faceburn(slightly) My skin is highly sensitive, may be its bcoz of that The smell of it is so strong. My whole dressing table smells if juz placed without opening. I don't find it natural I feel it artificial due to d scent in it .",PATANJALI
B01GCESDT2,Society-Tea-Regular-250g-Pouch,4.9,20," Of all teas which i have tested and tasted, this tea has been my companion since many decades...  with little bit of adrak, pudina leaves, and one little pinch of the powder of cardamon & sticks - but you add milk separately heating it . It is heavenly after a tiring day ... though am not addicted to tea... but have found this particular tea very enjoyable... and light :-)",Society
B01GCETOCW,Tata-Tea-Gold-500g,3.7,18, This tata tea gold is a real gem in the house from tata . In my house we are using this tea since many long long years and everyone like it . I hope this review help you to choose right tea for yourself .,Tata
B01GDWNV68,Fastrack-Casual-Analog-Blue-Watch-NK3124SL02,4.1,20, Steel is good quality. Steel is Good quality. It's battery is awesome  and strap is genuine leather. But not waterproof strap. Please avoid from water because it may be damage after a long time .,Fastrack
B01GE1K5BW,Titan-Analog-Black-Dial-Watch-NK1730SL02,4.3,20, Very nice and classic looking watch with added benefit of date window & radium for night use . Good built quality of watch and leather straps are also made of good materials . Got delivered in 2 days only .,Titan
B01H70XQQ0,Patanjali-Cows-Ghee-500ml,3.3,20, Patanjali Ghee is not that pure or real Ghee smell like expected . It's like ordinary and looks like refined oil mixed with pure ghee . Nandini ghee or Jharana ghee is better than this .,Patanjali
B01H70ZVIQ,Patanjali-Cows-Ghee-1L,2.1,20, Patanjali made cow milk deshi ghee is best of availed among all similar type of fmcg product . No aroma on cooking..taste too bad...and smells on heating . Overall it's a 50-50 purchase .,Patanjali
B01IBTCZNG,Amul-Cow-Ghee-500ml,3.5,4, Cow ghee is always lighter but not thick . It has not higher cholesterol as buffalo ghee . A good ghee  is granular and thick. This one is more like oil on top and looks granular in the bottom .,Amul
B01IEO84OM,Himalaya-4003F-Baby-Lotion-400ml,3.3,20, Very Nice Product . It is very light weighted and quickly gets absorbed so that you don't feel creamy when you get out using this . It gives a smooth feeling to our skin and will not irritated your skin at all .,Himalaya
B01LNA2MQK,Dettol-Liquid-Refill-Original-1500,2.4,20," First i thought its a Great value in such low price,but after using it i realised it a fake one guys . Better to give some more money and buy the real product . Original Product with good packaging, longer expiry date and less price .",Dettol
B01MQNBOLA,Cinthol-Cool-Soap-100g-Free,2.5,20, After blindly using this soap for *years* it suddenly struck me that there is zero cooling effect in this soap now and by now I mean 2-3 years . The fragrance is bland and doesn't last long and the cooling part is ZERO .,Cinthol
B01N3KEVVR,Mysore-Sandal-Agarbathies-Pack-Box,4.1,20," This mysore sandal agarbatti we have been using for many years now . This set of agarbattis though smelling good from outside when the packet arrived, when it is fired, it is not giving the fragrance and quite faded a fragrance .",Mysore
B01N8UHYTB,Titan-Analog-Black-Dial-Watch-NK1730SL02,4.3,20, Very nice and classic looking watch with added benefit of date window & radium for night use . Good built quality of watch and leather straps are also made of good materials . Got delivered in 2 days only .,Titan
B01NCZ0GAF,Society-Tea-Minute-Ginger-Lemongrass,3.6,20, Society one minute tea saves a lot of my time. Just a cup of hot water and a tea bag is all I need. The tea is light in flavour but tastes good .,Society
B06Y575GXS,Society-Minute-Tea-Masala-500g,3.8,20, Good packaging nice flavour M not satisfied with the total amount as it costs 230 each but then it came out to be 634 for two masala teas which is not value for money then . IT TASTES like CARDAMMOM POWDER AND GINER .,Society
B0719RVB2X,Society-Tea-Minute-Masala-500g,4,20," Just heat water (optionally, add some milk for a richer taste) in a cup in the microwave, then drop in a scoop of this premix . Voila, your tea is ready - no utensils to wash, no gas needed, no tea leaves to throw and no tea filter to clean .",Society
B071VPLC99,Patanjali-Shatavar-Mushli-Ashwagandha-Churna,3.5,20," The bestPatanjali baba Ram dev ji seems like I have got fake products, as after consuming this I didnt find effects on my body. Even feels like I'm consuming rice hulls. The product looks and tastes all genuine.....Thanks to Amazon for delivering the product early after connecting with customer care executive who facilitated the dispatch .",Patanjali
B071WRP912,Patanjali-Saundarya-Aloe-Vera-150ml,4.3,20, This product from patanjali can be a nightmare for your skin . Although the fragrance is good and it is a cheap product but that's all . The cap is quite sharp to open and close and can hurt if not operated carefully .,Patanjali
B072VLGBDS,Streax-Vitalized-Hair-Serum-300,4.4,20, It says unscented in the product description but in reality it has an awful and strong scent that left my head spinning and I literally had a headache for the whole day . Really hard to trust Amazon product descriptions from here on .,Streax
B073S7M65M,Amul-Gold-Milk-Homogenised-Standardised,3.4,20," Tastes like normal pouch bag milk. Feels no difference unlike other brands which taste good, sometimes are a lot thicker to seem real milk . Very convenient to store & assured quality.",Amul
B074M1ZPHP,Himalaya-Herbals-Baby-Lotion-400ml,4,20, An ideal light weight moisturizer for non-winter months . It gets absorbed into your skin pretty quickly with minimal effort . It also forms a protective layer until your next shower .,Himalaya
B074M3Z6Q5,Himalaya-Moisturizing-Aloe-Vera-200ml,3.6,20, It contains ammonia guyz. It's very dangerous. I bought it and used it one day one the next day morning my face swelled. But my skin is smooth and its glowing but I had numerous side effects. They will sell their products but people health could completely damaged .,Himalaya
B0758LVKLL,Amul-Pure-Ghee-Pouch-1L,2.1,20," Amul is a very old and trusted brand . I typically purchase Mother Dairy / Amul Ghee - depending upon which one is at a better price (per kg ) or on offer :) Amazon does good delivery in Mumbai, be it Prime Now or Pantry .",Amul
B075B7WDJY,Himalaya-Baby-Shampoo-400-ml,3.5,20," The one I bought at local store is very thick,with almost gel like consistency, doesn't even spill out even if the cap is open and lying down,have to really squeeze it out . The one she bought from Amazon is so watery and runny. Spills out in an instant without even squeezing bottle. The strength of this shampoo was so mild. No skin irritation or any other allergic reactions .",Himalaya
B075P2RKDG,Dettol-Detergent-Liquid-Laundry-Sanitizer-Spring-Blossom,3.1,20, Dettol antiseptic liquid original is far better in all terms rather than this product . Less useful product. Instead buy dettol original and add to water in which clothes are soaked .,Dettol
B077PVVYH6,Streax-Ultralights-Highlighting-Kit-Collection,3.8,20," Gives good color/highlights if kept for about 45 minutes . The color stays for about 8-9 months and lightens with time . After 1-1.5 months of applying this hair color, I would suggest to use henna/mehendi for about 1 hour in all you hairs .",Streax
B078KHP29L,Dettol-Disinfectant-Liquid-Menthol-Cool,5,20," Active ingredients are quaternary ammonium chloride compounds which are a very potent and effective disinfectant . This is not the same as Dettol antiseptic used for skin so do not use it for that purpose . Also works for laundry, but use it as a pre-wash, with a full wash cycle afterwards .",Dettol
B078KT9RB1,Amul-Cacao-Chocolate-125g-Pack,4.9,20, Good for heart and high BP and diebetic patients . Bitterresssssssssstttt of all...Tastes bitter. No sugarhaving a piece of it. Will finish it in 4 months time. Eat it as a medicine.,Amul
B078X5298B,Godrej-No-1-Bathing-Soap-Lime,4.2,20," Godrej No. 1 is one of those soaps that has been able to balance all the essential tick points in a common bath soap viz pleasant fragrance, good lather, soft on the skin . The Lime fragrance is lemon-like which is perfect for summers .",Godrej
B079H8WT7F,Britannia-NutriChoice-Digestive-100g,3.2,20," It's cheating under broad day light, I bought the biscuit to see it's mrp itself is RS 20 . There is no discount, or you may think it's a combo pack. It's just a 100grm packet. All time biskits are broken. FLAVOR WAS good, TASTE TOO but MOST OF THE BISCUITS in the pack WERE BROKEN .",Britannia
B079H8Y973,Tata-Agni-Leaf-Tea-1kg,3.2,20, The tea packet was torn . I would like this order replaced I always purchase Tata Agni Leaf tea . Could observe the quality and taste difference a lot this time . Going forward not going to buy this tea .,Tata
B079TXZ142,Glucon-D-Glucose-Based-Beverage-Orange,3.4,20," Out 2 ine was damaged it was torm and the powder coming out of it, no return policy Useful energizer, mild orange flavour. Free Tiffin Box not provised which was mentioned on Packed. Not expected. Good for summer .",Glucon
B07BGT4J55,Mamaearth-Percent-Natural-Berry-Toothpaste,4.5,20," Mama Earth team needs to research more on the ingredients on this product . Made with 100% safe ingredients, this shouloul be safe for children .",Mamaearth
B07BRTLC6R,Fastrack-Analog-Silver-Dial-Watch-NK9332PP06,4.9,20," The product quality is very good and very light weight the of watch os also good . Comfortable to wrist,water resistant, good looking, and can be used for a long time . I love the quality of this product .",Fastrack
B07CNVJ241,Titan-Karishma-Analog-Black-Watch-NK1639SM02,4.5,20, The black dial and the silver hands and silver marking makes the functioning of the watch look stunning and royal . The metal bracelet that comes with it is beautiful and goes perfectly with the timepiece dimension wise .,Titan
B07DCXBQPV,Paper-Boat-Mixed-Fruit,4.2,20, I received the product in a well packed box.. There were two boxes actually in the packing . I really appreciate the packing. It ensured that none of my pack was damaged. And the taste was of course sooo soothing .,Paper
B07DQN5B3G,Fastrack-Casual-Analog-White-Watch-NK3121SM01,3.3,20, Quality of the product is exceptional . It's a bit heavy and no negatives apart from that... I am writing review after 15 days use . Watch seems original but the price paid is equal to showroom price .,Fastrack
B07FK39JPQ,Mysore-Whitening-Rejuvenating-Face-Pack,3.2,20, Warts were probably picked up at the gym with too many people milling around in sweat . Caution - These warts weren't because of an STD . This face pack should not be applied on your eyelids or where you have a chance of ingesting it .,Mysore
B07FPKJ7MP,Godrej-Matic-Spray-Violet-Valley,1.3,20, Received in package opened condition . Perfume bottle was almost empty. Highly dissatisfied with the product . The smell is good but the arrmatic spray is not functioning properly . Avoid this product from the seller as he may be clearing his defect stock .,Godrej
B07FPSB76P,Mamaearth-Illuminate-Vitamin-Radiant-Turmeric,2.8,20," Mamaearth's face serum it's just very amazing. Fast absorbing & non-greasy Face Serum, Turmeric properties works well for radiant skin and Vitamin C antioxidant properties supporting it very well with reducing acne/dark .",Mamaearth
B07FPV716J,Mamaearth-Percent-Natural-Berry-Toothpaste,4.5,20," Mama Earth team needs to research more on the ingredients on this product . Made with 100% safe ingredients, this shouloul be safe for children .",Mamaearth
B07H3V7LNR,Amul-Pro-500g-Pouch-Pack,4.7,20, Amul Pro is the only Health Drink available in the market at most economical Price Tag . My children love its taste and flavor . It does not appear to leave fake colo .,Amul
B07H8NDPK2,Streax-Perfumed-Body-Peach-100ml,3.8,20, Received overpriced product whereas the print price was less . Manufacturing and expiry dates have been erased intentionally . Will write only negative review about the product .,Streax
B07J2MQNW3,Mysore-Sandal-Bathing-Soap-125g,4.3,16," Fake item..... I have using this soap for years., so the moment i opened the pack i became sure that its a fake one... No fragrance at all... Totally fake.. Dont buy from this seller. Just Great Way best! Lovely scent :)  This is original sandal soap,also smell is fantastic Thanks  Good Value for mony .",Mysore
B07KN9NLXZ,Streax-Ultralights-Highlighting-Kit-Collection,3.8,20," Gives good color/highlights if kept for about 45 minutes . The color stays for about 8-9 months and lightens with time . After 1-1.5 months of applying this hair color, I would suggest to use henna/mehendi for about 1 hour in all you hairs .",Streax
B07MJ62P6D,Patanjali-UHT-Milk-1000-ml,4.2,10, Undoubtedly the best cows milk we have ever tasted out of a Milk carton . Tastes better than toned milk . Comparable with Amul Gold in thickness .,Patanjali
B07MKNRBFS,Patanjali-Saundarya-Aloe-Vera-150ml,4.3,20, This product from patanjali can be a nightmare for your skin . Although the fragrance is good and it is a cheap product but that's all . The cap is quite sharp to open and close and can hurt if not operated carefully .,Patanjali
B07MVHJ6CH,Mysore-Sandal-Soaps-Pack-Bars,4,16," Soap leaves skin relatively dry which is ideal for  hot and humid summer months in Delhi . Best soothing, cooling fragrance for hot summer months .",Mysore
B07MVMRP7C,Mysore-Sandal-Gold-Soap-Pack,4,20," This is the best sandalwood soap with 80% TFM,The scent of this one is heavenly and long lasting . It also leaves the fragrance in bathroom so an awesome soap . The only con is price, but I guess it's still not an issue because of the quality they are giving .",Mysore
B07MVQDD4G,MYSORE-SANDAL-Mysore-Sandal-Talcum,3.6,20, The mysore sandal talc allows you to decide the size of the hole you want to have on the bottle . The fragrance last longer than the ponds sandalwood talc even though out the day!,MYSORE
B07MXHP8K4,Cinthol-Lime-Soap-100g-Pack,4.8,20," Super Great It has been a classic since 2 decades or so, something's never change. Best always Nice Fragrance and soft.. Feels very refreshing using it Good deal Nice It's a good product by Cinthol .",Cinthol
B07MXJ1G7G,Cinthol-Cool-Soap-100-Pack,4.2,20, Aroma could be felt even before opening the parcel . Fragrance is really freshening. Got at ₹165. I prefer cinthol soap amongst all the soaps available .,Cinthol
B07MXKMWT5,Titan-Analog-White-Dial-Watch-NK1639SL03,4.4,20," Amazing watch....but belt damaged in 2 months... What do I do? Strap could have been better. A1 A Tata product, good watch with pathetic strap. Strap will break in two after a month of use .",Titan
B07MZCKBNZ,Cinthol-Confidence-Soap-100g-Pack,4,20," The fragrance is nice powdery scent which is refreshing without being overpowering . The soap’s cleansing is good, not great, but it has a nice creaminess which is far beyond its modest price .",Cinthol
B07NLLPYJ3,Britannia-Vita-Marie-Gold-150g,4.7,20, I have received ust like powder...Have pay120rs for buiscuit  and 320 for shiping...cheating  with me...customer  care executive told me only 80rs shing for 4 packet...means if i purchased more than one similar product  shiping  is aplicable only one time ...order 4 packet shiping applicable  at 4..Toty unsatisfied. Good for tea time Tasty Good Excellent u r also getting money back Very good product. Good one Awesome Nice Good product.,Britannia
B07NLR9YPZ,Natural-Festive-Delight-Assorted-Jelimals,4.2,20, 6 packets of bnatural is 120 and 2 packets of jelimals is 20... so it should only be 140 and not 160... Feel like cheated amazon.. did not expect this from you good and best gift I bought it for RS.  110 .,Natural
B07PSJW32L,Himalaya-Herbals-Anti-Wrinkle-Cream,4.1,20, i bought this cream for my mom and ladies believe me its work great more then fancy costly  creams but yes its oily but thts ok bcs of result....i wish a serum in same series...thanx amazon ad himalaya..pls like yes if u love my review bcs its free for u .,Himalaya
B07Q2B5Z9D,Mamaearth-Blemishes-Pigmentation-Blemish-Mulberry,3.2,20, The fragrance is mild so brilliant! I'll continue using this as it helped my acne . Just a tip to all people with acne skin. Keep your scalp clean and change your pillow sheets .,Mamaearth
B07QB5YZB8,Godrej-No-1-Bathing-Soap-Turmeric,3.5,20, Godrej No.1 Sandal Turmeric soaps do not dissolve easily in water resulting in greater longevity . Long lasting up to 2-6 hours depends on the situation .,Godrej
B07QB5ZDTD,Godrej-Direct-Cool-Refrigerator-1905-PTDI,3.5,20," Recently received the product from amazon. Delivery was good and the Delivery Boy never ask for any money really very good and professional . My mom's favorite brand is Godrej, and my wife choose this model, that's why I buy this one .",Godrej
B07QK29V9G,Dettol-Disinfectant-Cleaner-Home-Fresh,4.4,20," Dettol is effective as an Antiseptic, but also smells nice . I grew up with this brand back home in Sydney . I am not fond of the alleged disinfectants at the local markets . I use this in my floor wash, you only need a very tiny amount .",Dettol
B07QSQCF9R,Mamaearth-Moisturizing-Baby-Bathing-Oatmeal,3.5,20, The natural nutrients present in goat milk gets easily absorbed in the delicate skin of your baby and keeps it moisturized for long time . The soap is SUITABLE for every baby's DELICATE SKIN even you can try it for your newborns as well .,Mamaearth
B07RLLV5BW,Tata-Tea-Gold-500g,3.4,20," After trying almost 10 different brands of tea, I have found the one I like . It is not just too strong tea, it tastes good . Most in my family like it and this is the one we are going to use from now on along with Red Label .",Tata
B07S55SML2,Godrej-Security-Solutions-SEEC9060-Electronic,3.2,20," The manual provided is obsolete, and the instructions do not match up with this product . If you want to program the safe, you have to figure it out on your own . There are no solutions posted online either . Customer service personnel were not helpful either .",Godrej
B07THHHWH9,Godrej-Protekt-Master-Blaster-Handwash,4.1,20, The smell is very good and the clear gel is also very gentle to the hands . It's so mild on your hands and does it's job of cleaning well .,Godrej
B07V6DPTJ1,Cinthol-Original-Soap-100-Pack,4.6,20, Excellent soap... 79% TFM... amazing scent... Once you try it you won't try another soap... The best soap available. Have been using it for more than 3 decades . Stands for quality  and light smell after the bath stays hours together Value for money because I got 8 soaps in Rs 250 /- including shipping ordered during Amazon sale b/w 29th September - 4 th October .,Cinthol
B07V6DQNP5,Cinthol-Lime-Soap-100-Pack,4.9,20, It's really good Good soap Fress and nice Good product and smell is nice . Great For daily use essential it is very good product. Perfect packing. a best customer friendly seller app .,Cinthol
B07VB4H78J,Cinthol-Original-Soap-100g-Pack,4.6,20, Nivea launched it's own soap flagship in india few days back which is in fact might have beaten cinthol in terms of quality . The quality of the soap is determined by its 'TFM' content .,Cinthol
B07VYRQFBJ,Maggi-Masala-Noodles-Singles-840g,2.6,20," Maggi is called national food of India, lol. It's tasty and non sticky and can be prepared easily and quickly . Recommend to every age group as a quick snack . Packaging and delivery was good and prompt .",Maggi
B07W7CTLD1,Mamaearth-Onion-Growth-Control-Redensyl,3.1,20," It prevents hair loss, helps control premature greying, dryness, dandruff, scalp eruptions and many other hair problems . Oiling provides your scalp with essential nutrients, and also strengthens the hair roots .",Mamaearth
B07Y3L2QD3,Natural-Mango-Juice-1L-Pack,3.7,20," Amazon Fresh items cannot be returned or replaced, unfortunately, so I am stuck with this . The juiceboxes inside weren't damaged but the stench of leptospirotic urine is unbearable and other packaged foods were in the same bag!",Natural
B07Y4ZGYL9,Mamaearth-Natural-Turmeric-Saffron-brightning,3.4,20, This one says it's a skin-lighting face wash which I felt so disappointed about at first but then I realised it makes your skin lighter by removing tan from your face . I am really very impressed with the effects. It leaves my skin squeaky clean and makes it brighter. It is definitely not worth the money .,Mamaearth
